issued_at,model,target_date,lead_days,weather,wcode,tmax_disp,tmin_disp,tmax_raw,tmin_raw,pop_max,precip_sum,snow_sum,source_revision
2026-09-25T18:22:37+09:00,best_match,2026-09-25,0,"弱い雨",61,21.2,13.7,18.2,13.7,65,4.4,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:37+09:00,best_match,2026-09-26,1,"強い雨",65,17.6,13.9,15.6,13.9,100,27.9,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:37+09:00,best_match,2026-09-27,2,"雨",63,21.1,13.8,18.1,13.8,94,11.8,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:37+09:00,best_match,2026-09-28,3,"強霧雨",55,20.9,14.6,18.9,14.6,83,7.8,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:37+09:00,best_match,2026-09-29,4,"弱雨",80,18.5,13.5,16.5,13.5,57,9.2,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:37+09:00,best_match,2026-09-30,5,"曇り",3,25.3,11.5,22.3,11.5,64,0.0,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:37+09:00,best_match,2026-10-01,6,"曇り",3,20.5,6.9,18.5,6.9,32,0.0,,2347639b0c6277660189b8e6cd43a86cb6b78579
