issued_at,model,target_date,lead_days,weather,wcode,tmax_disp,tmin_disp,tmax_raw,tmin_raw,pop_max,precip_sum,snow_sum,source_revision
2026-09-25T18:22:38+09:00,ecmwf_ifs025,2026-09-25,0,"弱霧雨",51,22.6,11.8,20.6,11.8,65,1.0,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:38+09:00,ecmwf_ifs025,2026-09-26,1,"雨",63,20.3,12.6,18.3,12.6,100,22.2,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:38+09:00,ecmwf_ifs025,2026-09-27,2,"弱雨",80,18.7,14.5,16.7,14.5,94,28.4,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:38+09:00,ecmwf_ifs025,2026-09-28,3,"雷雨",95,19.8,15.0,17.8,15.0,83,19.7,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:38+09:00,ecmwf_ifs025,2026-09-29,4,"弱い雨",61,18.6,13.6,16.6,13.6,57,9.7,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:38+09:00,ecmwf_ifs025,2026-09-30,5,"曇り",3,25.4,11.5,22.4,11.5,64,0.0,,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:38+09:00,ecmwf_ifs025,2026-10-01,6,"曇り",3,20.6,6.9,18.6,6.9,32,0.0,,2347639b0c6277660189b8e6cd43a86cb6b78579
