issued_at,model,target_date,lead_days,weather,wcode,tmax_disp,tmin_disp,tmax_raw,tmin_raw,pop_max,precip_sum,snow_sum,source_revision
2026-09-25T18:22:39+09:00,average,2026-09-25,0,"曇り一時晴れ",,21.4,12.8,19.4,12.8,65,3.4,0.00,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:39+09:00,average,2026-09-26,1,"雨時々曇り",,18.8,13.5,16.8,13.5,100,26.6,0.00,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:39+09:00,average,2026-09-27,2,"雨一時曇り",,19.4,14.3,17.4,14.3,94,16.8,0.00,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:39+09:00,average,2026-09-28,3,"雨時々曇り",,20.3,14.9,18.3,14.9,83,11.0,0.00,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:39+09:00,average,2026-09-29,4,"雨一時曇り",,18.6,13.6,16.6,13.6,57,9.2,0.00,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:39+09:00,average,2026-09-30,5,"晴れ一時曇り",,25.4,11.5,22.4,11.5,64,0.0,0.00,2347639b0c6277660189b8e6cd43a86cb6b78579
2026-09-25T18:22:39+09:00,average,2026-10-01,6,"晴れのち曇り",,20.6,6.9,18.6,6.9,32,0.0,0.00,2347639b0c6277660189b8e6cd43a86cb6b78579
