issued_at,model,target_date,lead_days,weather,wcode,tmax_disp,tmin_disp,tmax_raw,tmin_raw,pop_max,precip_sum,snow_sum,source_revision
2026-09-26T18:22:35+09:00,best_match,2026-09-26,0,"強い雨",65,19.9,14.1,16.9,14.1,100,38.4,,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:35+09:00,best_match,2026-09-27,1,"雨",63,17.8,13.8,16.0,13.8,94,31.7,,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:35+09:00,best_match,2026-09-28,2,"弱い雨",61,21.7,15.7,19.7,15.7,97,9.0,,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:35+09:00,best_match,2026-09-29,3,"弱い雨",61,20.2,12.7,18.2,12.7,60,16.6,,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:35+09:00,best_match,2026-09-30,4,"弱霧雨",51,25.0,10.8,22.0,10.8,31,0.3,,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:35+09:00,best_match,2026-10-01,5,"晴れ",1,20.5,9.1,18.5,9.1,12,0.0,,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:35+09:00,best_match,2026-10-02,6,"薄曇",2,18.8,5.0,16.8,5.0,4,0.0,,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
