issued_at,model,target_date,lead_days,weather,wcode,tmax_disp,tmin_disp,tmax_raw,tmin_raw,pop_max,precip_sum,snow_sum,source_revision
2026-09-26T18:22:37+09:00,average,2026-09-26,0,"曇りのち雨",,19.8,13.6,17.8,13.6,100,35.8,0.00,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:37+09:00,average,2026-09-27,1,"雨",,18.3,14.3,16.3,14.3,94,30.7,0.00,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:37+09:00,average,2026-09-28,2,"雨時々曇り",,20.6,15.5,18.6,15.5,97,13.1,0.00,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:37+09:00,average,2026-09-29,3,"雨一時曇り",,19.0,12.6,17.0,12.6,60,18.7,0.00,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:37+09:00,average,2026-09-30,4,"晴れ一時曇り",,25.1,10.8,22.1,10.8,31,0.3,0.00,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:37+09:00,average,2026-10-01,5,"晴れ",,20.5,9.2,18.5,9.2,12,0.0,0.00,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
2026-09-26T18:22:37+09:00,average,2026-10-02,6,"晴れ",,18.8,5.0,16.8,5.0,4,0.0,0.00,f55af7cb49ff1c8bf8cf2c0de34636f1b798c5b6
